Institution,Q3_SATMath,Q7_ACTMath,Q15_CalculusNonAPFinalGrade,Q17_CalculusABFinalGrade,Q17_CalculusBCFinalGrade,Q18,Q26,Q29_Confident,Q48,Q60,Q3Post,Q4Post_NeverIntended,Q4Post_Major,Q4Post_Experience,Q4Post_OtherCourses,Q4Post_Time,Q4Post_Grade,Q4Post_Understand,Q5Post,Q6Post_Confident,Q18Post_AskedQs,Q18Post_Listened,Q18Post_Applications,Q18Post_Time,Q18Post_ProblemSolver,Q18Post_Explanations,Q18Post_Appointments,Q18Post_Discouraged,Q19Post_SpecificProblems,Q19Post_WorkTogether,Q19Post_Discussion,Q19Post_Presentations,Q19Post_Individually,Q19Post_Lecture,Q19Post_AskQuestions,Q19Post_ExplainThinking
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,5,5,4,5,5,6,3,3,4,4,6,3,5,5,5
151,NA,NA,1,NA,NA,2,1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,2,5,5,5,1,3,5,5,5
151,600,28,NA,NA,NA,2,1,4,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,4,6,6,6,6,5,5,4,1,6,5,3,1,4,6,6,4
151,NA,27,NA,NA,NA,2,1,5,2,6,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,4,4,5,5,5,2,5,3,3,1,2,5,3,3
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,3,5,5,5,3,5,4,2,5,4,5,4,3,6,3,4
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,6,5,5,5,6,1,5,3,5,5,3,5,5,5
151,610,NA,NA,8,NA,2,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,2,3,NA,NA,NA,NA,1,2,2,2,5,2,1,2,5,1,6,1,1,2,1,4,2,1
151,500,NA,NA,NA,NA,2,1,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
161,NA,28,NA,NA,NA,2,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,670,NA,NA,6,NA,2,3,4,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
62,550,NA,NA,NA,NA,2,2,3,1,15,2,1,NA,NA,NA,NA,NA,NA,2,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3
62,800,NA,NA,6,6,2,2,6,1,13,2,1,NA,3,NA,5,NA,NA,2,2,1,1,4,1,1,1,4,6,6,6,1,1,5,5,5,4
62,680,NA,4,NA,NA,2,2,4,2,14,2,1,NA,NA,NA,NA,NA,NA,2,4,5,5,5,5,5,5,5,2,5,5,5,1,4,4,5,5
62,NA,25,NA,NA,NA,2,2,2,2,3,2,1,NA,NA,4,5,NA,NA,NA,4,3,5,6,2,3,3,5,2,5,3,2,1,5,4,NA,2
62,NA,29,NA,NA,NA,2,3,5,1,12,3,NA,NA,3,NA,NA,NA,NA,1,4,1,3,6,4,4,3,4,1,3,3,3,1,3,4,4,2
62,NA,NA,4,NA,NA,1,2,4,2,1,2,NA,NA,NA,4,NA,NA,NA,2,5,6,6,6,6,6,6,6,1,2,5,3,1,2,4,5,5
62,690,31,NA,2,NA,2,3,5,2,11,1,NA,NA,NA,NA,NA,NA,NA,2,4,1,4,5,4,3,2,4,3,4,3,1,1,1,6,3,1
