Institution,Q3_SATMath,Q7_ACTMath,Q15_CalculusNonAPFinalGrade,Q17_CalculusABFinalGrade,Q17_CalculusBCFinalGrade,Q18,Q26,Q29_Confident,Q48,Q60,Q3Post,Q4Post_NeverIntended,Q4Post_Major,Q4Post_Experience,Q4Post_OtherCourses,Q4Post_Time,Q4Post_Grade,Q4Post_Understand,Q5Post,Q6Post_Confident,Q18Post_AskedQs,Q18Post_Listened,Q18Post_Applications,Q18Post_Time,Q18Post_ProblemSolver,Q18Post_Explanations,Q18Post_Appointments,Q18Post_Discouraged,Q19Post_SpecificProblems,Q19Post_WorkTogether,Q19Post_Discussion,Q19Post_Presentations,Q19Post_Individually,Q19Post_Lecture,Q19Post_AskQuestions,Q19Post_ExplainThinking
16,720,NA,NA,NA,NA,1,2,5,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,2,2,5,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,630,29,NA,NA,NA,2,1,4,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,560,NA,1,NA,NA,2,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,610,25,5,NA,NA,2,3,4,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,680,NA,2,NA,NA,2,3,4,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,600,NA,NA,NA,NA,1,1,5,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,550,24,NA,1,NA,2,3,4,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,660,NA,NA,4,NA,2,3,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,560,NA,5,5,NA,2,3,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,560,24,NA,1,NA,2,3,6,2,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,750,NA,NA,NA,NA,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,800,NA,4,NA,NA,2,1,5,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,610,NA,1,NA,NA,2,3,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,710,NA,NA,NA,NA,1,1,5,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,4,4,4,4,4,1,5,5,5,1,5,5,5,5
44,NA,20,3,NA,NA,2,1,5,2,10,1,NA,NA,NA,NA,NA,NA,NA,1,3,2,2,4,1,4,4,5,5,5,4,3,1,3,6,3,3
44,NA,NA,NA,NA,NA,2,1,4,2,9,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,3,5,2,2,4,5,6,6,6,6,1,2,4,4,6
44,NA,30,NA,NA,NA,2,2,5,1,15,2,1,NA,NA,4,5,NA,NA,2,4,5,5,6,5,5,5,5,1,5,6,5,4,4,4,5,6
44,NA,28,NA,NA,NA,2,1,4,2,6,2,NA,2,3,4,NA,NA,7,1,2,4,3,4,3,3,3,4,3,5,5,3,1,2,5,6,3
44,NA,NA,NA,NA,NA,2,2,5,1,2,2,1,NA,3,NA,5,NA,NA,2,5,3,3,4,4,2,2,5,2,6,5,5,1,3,6,5,5
44,NA,30,NA,3,NA,2,3,5,1,15,2,NA,2,NA,NA,NA,NA,NA,1,4,5,5,5,4,4,4,5,2,5,6,6,4,5,6,6,4
44,NA,29,NA,NA,NA,2,1,5,2,6,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,5,2,2,1,5,5,3,6,2,1,5,6,1,1
44,NA,27,NA,2,NA,2,3,5,1,6,3,NA,NA,NA,NA,NA,NA,NA,1,5,4,3,5,3,3,3,5,4,4,4,4,2,3,3,4,3
44,NA,31,NA,4,NA,2,1,5,1,5,1,NA,NA,NA,NA,NA,NA,NA,NA,5,5,3,5,5,5,3,4,2,5,5,3,4,5,5,5,5
44,NA,28,NA,NA,NA,2,1,5,1,9,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,6,4,5,4,5,1,5,4,3,3,4,4,5,5
44,NA,30,1,NA,NA,2,2,5,1,2,1,NA,NA,NA,NA,NA,NA,NA,2,2,4,5,5,4,6,4,5,4,4,4,6,5,4,4,4,6
44,NA,24,NA,NA,NA,2,1,4,1,6,2,NA,2,3,4,5,6,NA,3,1,5,4,4,4,4,4,6,1,5,6,5,2,6,5,5,4
44,NA,29,8,NA,NA,1,1,5,1,6,2,NA,2,NA,NA,NA,NA,NA,1,5,1,1,1,1,2,2,5,5,4,4,5,2,4,5,3,2
44,NA,31,NA,NA,8,2,1,4,1,9,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,2,4,3,3,3,4,3,5,6,6,3,3,5,4,4
44,NA,25,NA,NA,NA,2,1,5,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,4,4,3,3,3,5,2,5,5,3,1,4,4,4,4
44,NA,27,NA,NA,NA,2,1,6,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,2,4,5,5,3,4,6,4,2,6,1,2,6,3,3
44,NA,29,4,4,NA,2,3,6,1,12,3,NA,NA,NA,NA,NA,NA,NA,NA,5,5,5,5,5,2,5,4,2,3,4,1,1,4,4,4,5
44,NA,30,NA,NA,NA,2,1,5,1,6,1,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,4,3,3,3,4,6,5,6,4,1,2,5,3,4
44,NA,19,NA,NA,NA,2,2,4,2,1,2,1,NA,NA,NA,NA,NA,NA,2,3,3,3,4,3,3,3,4,3,6,6,6,2,1,6,4,6
44,600,26,5,NA,NA,2,1,5,1,16,2,NA,2,NA,4,NA,NA,NA,2,4,5,4,5,5,5,5,5,2,4,5,5,3,4,4,5,5
44,NA,30,NA,NA,NA,2,1,5,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,5,2,4,5,2,3,3,5,2,6,5,3,1,3,6,4,4
44,NA,31,NA,NA,NA,2,3,4,2,1,3,1,2,NA,4,NA,NA,NA,2,4,5,4,5,4,4,4,5,2,5,4,5,2,3,5,4,2
44,NA,28,NA,5,NA,2,3,5,2,16,3,NA,NA,NA,NA,NA,NA,NA,2,5,5,5,5,4,4,5,5,2,5,5,6,3,4,5,5,5
44,NA,31,6,7,NA,2,3,4,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,2,4,1,1,1,1,4,1,3,2,6,1,5,6,3,1
44,NA,NA,NA,NA,NA,2,1,5,2,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,750,29,2,NA,NA,2,3,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,27,NA,NA,NA,2,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,27,NA,NA,NA,2,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,28,NA,NA,NA,2,2,3,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,5,4,2,3,3,5,1,4,6,5,1,2,6,4,5
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,4,4,4,5,3,3,4,5,3,5,5,4,4,5,5,5,4
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,2,1,6,2,4,1,NA,NA,NA,NA,NA,NA,NA,1,5,6,5,5,4,4,6,6,1,6,6,6,6,6,6,6,6
44,NA,28,1,1,NA,1,1,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,6,5,6,6,5,5,6,5,1,6,6,6,5,5,3,5,5
44,NA,29,NA,NA,NA,2,1,6,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,6,6,6,6,6,1,6,6,6,6,6,5,6,6
44,NA,NA,NA,NA,NA,2,1,4,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,NA,5,5,5,5,4,5,5,2,5,6,6,5,5,6,6,5
44,NA,29,NA,NA,NA,1,1,5,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,6,5,1,6,6,5,3,3,4,5,5
44,NA,25,NA,NA,NA,2,3,4,2,1,3,NA,NA,NA,4,NA,NA,NA,2,5,5,5,5,5,5,5,5,1,5,5,5,4,5,4,5,5
44,NA,NA,NA,NA,NA,1,1,4,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,5,6,5,6,6,5,5,5,1,5,6,5,1,2,5,5,5
44,NA,2.80E-29,2,3,NA,2,1,6,1,1,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,6,4,5,6,6,6,1,4,5,4,3,3,2,5,6
44,NA,NA,NA,NA,NA,2,2,5,2,1,2,1,NA,NA,NA,NA,NA,NA,2,5,5,6,5,5,6,6,6,1,6,6,6,4,4,6,6,6
44,NA,26,NA,NA,NA,1,2,4,2,10,2,1,2,3,4,NA,NA,NA,2,5,5,5,5,5,5,5,6,1,6,6,5,3,4,5,6,6
44,NA,33,1,NA,NA,2,2,5,1,1,2,1,NA,NA,NA,NA,NA,NA,2,6,6,6,5,6,6,6,6,1,5,6,4,4,5,5,6,6
44,NA,NA,NA,NA,NA,2,1,4,2,15,1,NA,NA,NA,NA,NA,NA,NA,1,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
44,NA,27,4,4,NA,2,2,6,1,1,3,NA,NA,NA,4,NA,NA,NA,3,5,6,6,NA,6,6,6,6,1,6,6,6,5,6,5,6,6
44,NA,24,NA,NA,NA,2,1,5,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,5,5,5,5,5,5,1,5,5,3,3,5,5,4,5
44,NA,20,NA,2,NA,2,1,4,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,5,5,5,4,5,5,3,5,5,5,4,3,3,4,5
44,NA,24,NA,NA,NA,2,2,6,2,1,2,NA,NA,3,4,NA,NA,NA,2,5,6,6,6,6,6,6,6,1,6,6,6,6,6,4,6,6
44,NA,34,NA,NA,NA,2,2,6,2,1,2,1,NA,NA,NA,NA,NA,NA,2,6,6,4,6,5,5,5,5,2,4,6,5,6,2,4,5,5
44,NA,NA,NA,5,NA,2,2,6,2,1,2,1,NA,NA,4,5,NA,NA,2,6,6,5,5,6,4,5,6,1,6,5,4,1,3,6,6,5
44,NA,26,NA,NA,NA,2,3,6,2,9,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,6,6,2,5,6,6,5,5,5,5,6
44,NA,27,NA,NA,NA,2,3,5,2,16,3,NA,NA,NA,NA,NA,NA,NA,2,6,6,5,6,6,5,6,6,1,4,6,6,4,4,4,6,6
44,NA,33,NA,NA,NA,1,3,5,1,12,2,1,2,NA,NA,NA,NA,NA,3,5,4,5,4,5,4,5,5,1,5,5,5,3,5,4,5,5
44,NA,29,NA,NA,NA,2,1,5,1,7,1,NA,NA,NA,NA,NA,NA,NA,1,6,6,6,3,6,6,5,6,1,3,5,5,2,3,3,6,6
44,NA,NA,NA,NA,NA,1,1,6,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,2,2,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,24,NA,NA,NA,2,1,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,29,NA,NA,NA,2,1,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,4,NA,2,1,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,2,1,5,2,5,1,NA,NA,NA,NA,NA,NA,NA,1,3,6,6,3,3,4,4,5,1,4,6,5,2,3,4,6,6
44,NA,NA,NA,NA,NA,1,1,5,2,9,1,NA,NA,NA,NA,NA,NA,NA,1,2,5,5,5,5,4,5,5,6,3,5,5,1,5,5,5,6
44,NA,28,NA,3,NA,2,1,5,2,10,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,6,5,5,5,6,2,4,5,6,1,4,3,5,6
44,NA,32,NA,NA,NA,2,1,5,2,16,1,NA,NA,NA,NA,NA,NA,NA,1,6,5,5,6,NA,5,5,6,1,6,4,6,2,3,3,5,6
44,NA,34,NA,2,NA,2,1,6,2,9,1,NA,NA,NA,NA,NA,NA,NA,1,5,6,6,4,6,6,6,5,1,3,5,5,1,4,2,6,6
44,NA,30,2,NA,NA,2,1,6,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,6,5,6,6,6,6,6,6,1,5,6,5,1,5,4,5,6
44,NA,34,NA,NA,NA,2,3,6,2,16,3,1,NA,NA,NA,5,NA,NA,3,5,6,6,6,6,6,6,6,2,5,5,6,1,4,1,6,6
44,NA,NA,NA,NA,NA,2,1,5,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,28,1,NA,NA,1,1,5,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,2,1,5,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,33,NA,NA,NA,2,1,5,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,2,2,NA,2,1,5,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,27,NA,4,NA,2,1,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,32,3,NA,NA,2,3,4,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,6,6,6,3,5,6,5,1,5,6,4,1,5,4,6,5
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,6,6,6,6,6,6,6,1,5,6,6,1,3,4,6,6
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,4,4,4,4,5,5,5,4,6,6,6,4,6,6,6,6
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,4,4,5,5,5,6,1,5,5,5,1,5,4,5,6
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,4,4,4,4,4,4,5,4,3,4,3,1,5,3,5,5
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,2,5,6,6,6,6,6,6,6,1,6,6,6,1,6,6,6,6
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,6,6,6,6,5,5,6,6,1,6,5,5,2,2,3,5,6
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,4,6,6,6,3,4,5,6,4,3,5,4,2,5,5,5,5
44,NA,30,NA,NA,NA,2,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,29,NA,NA,NA,2,1,5,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,4,5,5,5,5,5,5,5,2,3,4,3,1,1,2,5,5
44,NA,23,NA,7,7,2,1,5,1,6,1,NA,NA,NA,NA,NA,NA,NA,1,5,5,5,5,5,5,5,5,2,4,3,5,1,4,6,5,5
44,670,NA,2,NA,NA,2,2,5,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,21,NA,NA,NA,2,1,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,25,NA,NA,NA,2,1,6,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,660,30,2,NA,NA,2,1,6,1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,30,NA,2,NA,2,2,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,34,NA,NA,NA,2,1,5,2,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,2,3,5,2,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,27,5,NA,NA,2,2,5,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,24,NA,NA,NA,2,3,3,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,32,NA,NA,2,2,1,6,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,34,NA,NA,NA,2,1,6,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,26,NA,5,NA,2,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,25,NA,NA,NA,2,3,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,24,NA,NA,NA,2,1,3,2,9,1,NA,NA,NA,NA,NA,NA,NA,1,3,5,6,6,5,5,5,6,1,6,6,6,1,1,5,5,5
44,NA,30,NA,NA,NA,2,2,5,2,1,2,1,NA,NA,NA,NA,NA,NA,2,3,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5
44,NA,NA,2,NA,NA,2,1,5,2,9,1,NA,NA,NA,NA,NA,NA,NA,1,2,5,5,5,5,4,5,6,2,6,6,6,4,5,6,5,6
44,NA,29,NA,NA,NA,2,2,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,22,NA,NA,NA,2,1,5,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,27,NA,NA,NA,2,1,4,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,21,NA,2,NA,2,2,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,28,NA,NA,NA,2,2,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,30,NA,2,NA,2,1,6,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,27,NA,NA,NA,2,1,5,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,27,NA,NA,NA,2,1,4,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,28,NA,NA,NA,2,1,6,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,23,NA,NA,NA,2,1,4,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,2,5,6,6,6,6,6,6,6,1,6,6,6,4,5,6,6,6
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,5,5,6,6,6,6,6,6,1,6,6,6,3,5,5,3,4
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,3,5,4,5,5,3,5,6,2,5,3,4,1,5,6,6,5
